,Month,Tesla Monthly Revenue (Millions),IXIC,CL,Vehicle Sales,Household Income,Family Income,Capita Income
104,31/12/2017,1096.166333,6889.740454,57.94699993,1603063,66687,81669,35807
105,31/1/2018,1136.250333,7279.498047,63.65904781,1156581,66828,82434,36503
106,28/2/2018,1136.250333,7161.772641,62.1836843,1305932,66828,82434,36503
107,31/3/2018,1136.250333,7311.506696,62.7719049,1657716,66828,82434,36503
108,30/4/2018,1334.077,7084.142346,66.32523782,1364619,66828,82434,36503
109,31/5/2018,1334.077,7339.327282,69.983181,1576158,66828,82434,36503
110,30/6/2018,1334.077,7645.138532,67.32285672,1549950,66828,82434,36503
111,31/7/2018,2274.666667,7756.863863,70.58190518,1373655,66828,82434,36503
112,31/8/2018,2274.666667,7892.233462,67.84521783,1500121,66828,82434,36503
113,30/9/2018,2274.666667,7983.307412,70.08473728,1440820,66828,82434,36503
114,31/10/2018,2408.673,7527.083899,70.7578261,1393137,66828,82434,36503
115,30/11/2018,2408.673,7236.08145,56.69333285,1399187,66828,82434,36503
116,31/12/2018,2408.673,6814.291607,48.77736925,1605973,66828,82434,36503
117,31/1/2019,1513.666667,6979.655715,51.55047626,1172653,69638,85780,37803
118,28/2/2019,1513.666667,7430.077354,54.98052597,1257589,69638,85780,37803
119,31/3/2019,1513.666667,7629.366653,58.16809518,1552126,69638,85780,37803
120,30/4/2019,2116.666667,7994.920922,63.87095261,1355548,69638,85780,37803
121,31/5/2019,2116.666667,7804.820867,60.86545441,1606260,69638,85780,37803
122,30/6/2019,2116.666667,7825.459009,54.70650024,1462664,69638,85780,37803
123,31/7/2019,2101,8205.598677,57.54636383,1417418,69638,85780,37803
124,31/8/2019,2101,7910.933239,54.84409055,1628577,69638,85780,37803
125,30/9/2019,2101,8087.699976,56.96700001,1282712,69638,85780,37803
126,31/10/2019,2461.333333,8079.278299,54.00565255,1384010,69638,85780,37803
127,30/11/2019,2461.333333,8517.577441,57.07000008,1445173,69638,85780,37803
128,31/12/2019,2461.333333,8778.591936,59.80476198,1459164,69638,85780,37803
